player,season,nation,age,Matches Played,Avg Mins per Match,Rating,Goals,Assists,Expected Goals,Progressive Passes,Tackles Won,Interceptions,Saves,prev_1_rating,prev_2_rating,rating_change_1yr,rolling_avg_3yr,Goals_per_90,Assists_per_90,Expected Goals_per_90,Progressive Passes_per_90,Tackles Won_per_90,Interceptions_per_90,Saves_per_90,age_squared,pos_DF,pos_FW,pos_GK,pos_MF,next_season_rating
Isco,2019,Spain,27,23,1181.0,6.97,1,2,2.1,96,9,7,0,6.83,7.22,-0.3899999999999997,7.006666666666667,0.07620660457239627,0.15241320914479253,0.1600338696020322,7.315834038950042,0.6858594411515665,0.5334462320067739,0.0,729,False,True,False,False,6.74
Isco,2020,Spain,28,25,908.0,6.74,0,2,1.5,109,9,2,0,6.97,6.83,0.13999999999999968,6.846666666666667,0.0,0.19823788546255508,0.14867841409691632,10.80396475770925,0.8920704845814978,0.19823788546255508,0.0,784,False,False,False,True,6.92
Isco,2021,Spain,29,14,331.0,6.92,1,0,0.7,42,5,2,0,6.74,6.97,-0.22999999999999954,6.876666666666666,0.2719033232628399,0.0,0.1903323262839879,11.419939577039274,1.3595166163141994,0.5438066465256798,0.0,841,False,False,False,True,6.739447911496603
Isco,2022,Spain,30,12,799.0,6.739447911496603,0,2,0.4,37,9,10,0,6.92,6.74,0.17999999999999972,6.799815970498867,0.0,0.22528160200250313,0.04505632040050063,4.1677096370463085,1.013767209011264,1.1264080100125156,0.0,900,False,False,False,True,7.52
Ishak Belfodil,2017,Algeria,25,26,1350.0,6.89,4,1,4.7,42,6,1,0,,,,6.89,0.26666666666666666,0.06666666666666667,0.31333333333333335,2.8,0.4,0.06666666666666667,0.0,625,False,True,False,False,7.31
Ishak Belfodil,2018,Algeria,26,28,1863.0,7.31,16,3,12.3,30,10,3,0,6.89,,,7.1,0.7729468599033816,0.14492753623188406,0.5942028985507246,1.4492753623188404,0.48309178743961356,0.14492753623188406,0.0,676,False,True,False,False,6.626545086967981
Ishak Belfodil,2019,Algeria,27,5,269.0,6.626545086967981,0,0,1.3,5,0,0,0,7.31,6.89,0.41999999999999993,6.942181695655994,0.0,0.0,0.4349442379182156,1.6728624535315986,0.0,0.0,0.0,729,False,True,False,False,6.57
Ishak Belfodil,2020,Algeria,28,14,596.0,6.57,0,1,1.5,8,2,1,0,6.626545086967981,7.31,-0.6834549130320182,6.835515028989327,0.0,0.15100671140939598,0.22651006711409394,1.2080536912751678,0.30201342281879195,0.15100671140939598,0.0,784,False,True,False,False,6.78
Islam Slimani,2017,Algeria,29,16,190.5,6.620000000000001,1,1,1.5,9,2,1,0,,,,6.620000000000001,0.47244094488188976,0.47244094488188976,0.7086614173228346,4.251968503937007,0.9448818897637795,0.47244094488188976,0.0,841,False,True,False,False,7.239999999999999
Islam Slimani,2019,Algeria,31,18,1285.0,7.239999999999999,9,7,9.0,57,4,1,0,6.620000000000001,,,6.93,0.6303501945525292,0.490272373540856,0.6303501945525292,3.992217898832685,0.2801556420233463,0.07003891050583658,0.0,961,False,True,False,False,6.76
Islam Slimani,2020,Algeria,32,18,579.0,6.76,3,1,3.7,21,5,1,0,7.239999999999999,6.620000000000001,0.6199999999999983,6.873333333333334,0.46632124352331605,0.15544041450777202,0.5751295336787565,3.264248704663212,0.7772020725388601,0.15544041450777202,0.0,1024,False,True,False,False,6.6891069916106725
Islam Slimani,2021,Algeria,33,12,573.0,6.6891069916106725,1,1,1.9,15,2,2,0,6.76,7.239999999999999,-0.47999999999999954,6.896368997203557,0.15706806282722513,0.15706806282722513,0.29842931937172773,2.356020942408377,0.31413612565445026,0.31413612565445026,0.0,1089,False,True,False,False,6.56
Ismail Jakobs,2019,Senegal,19,20,1672.0,6.7,2,2,2.3,25,23,24,0,,,,6.7,0.10765550239234449,0.10765550239234449,0.12380382775119617,1.3456937799043063,1.2380382775119618,1.291866028708134,0.0,361,False,True,False,False,6.7
Ismail Jakobs,2020,Senegal,20,23,1726.0,6.7,1,1,2.4,34,10,16,0,6.7,,,6.7,0.05214368482039397,0.05214368482039397,0.12514484356894554,1.772885283893395,0.5214368482039398,0.8342989571263035,0.0,400,False,False,False,True,6.79
Ismail Jakobs,2021,Senegal,21,28,1203.0,6.79,0,1,0.4,70,16,17,0,6.7,6.7,0.0,6.73,0.0,0.07481296758104738,0.029925187032418952,5.236907730673317,1.1970074812967582,1.2718204488778055,0.0,441,True,False,False,False,6.57
Ismail Jakobs,2022,Senegal,22,32,1119.0,6.57,0,2,1.0,46,5,9,0,6.79,6.7,0.08999999999999986,6.686666666666667,0.0,0.16085790884718498,0.08042895442359249,3.699731903485255,0.40214477211796246,0.7238605898123325,0.0,484,True,False,False,False,7.18
Ismaily,2022,Brazil,32,23,1779.0,6.81,2,1,1.2,95,18,21,0,,,,6.81,0.10118043844856661,0.050590219224283306,0.06070826306913997,4.806070826306914,0.9106239460370994,1.0623946037099494,0.0,1024,True,False,False,False,6.930000000000001
